"Constituency","MP","Party","Projected number of 0-15 yr olds in a household where an adult experienced domestic abuse in last year","Projected number of 0-15 yr olds in a household where an adult has ever experienced domestic abuse","Projected number of 0-15 yr olds in a household where an adult has moderate or higher mental ill-health symptoms","Projected number of 0-15 yr olds in a household where an adult has severe mental ill-health symptoms","Projected number of 0-15 yr olds in a household where an adult reports any substance misuse","Projected number of 0-15 yr olds in a household where an adult has an alcohol or drug dependency","Projected number of 0-15 yr olds in a household where an adult has any of the 'toxic trio' issues (broad measures)","Projected number of 0-15 yr olds in a household where an adult has any of the 'toxic trio' issues (narrow measures)","Projected number of 0-15 yr olds in a household where an adult has 2 of 3 'toxic trio' issues (broad measures)","Projected number of 0-15 yr olds in a household where an adult has 2 of 3 'toxic trio' issues (narrow measures)","Projected number of 0-15 yr olds in a household where an adult has 2 or more of the toxic trio issues (broad measures)","Projected number of 0-15 yr olds in a household where an adult has 2 or more of the toxic trio issues (narrow measures)","Projected number of 0-15 yr olds in a household where an adult has all 3 of the 'toxic trio' issues (broad measures)","Projected number of 0-15 yr olds in a household where an adult has all 3 of the 'toxic trio' issues (narrow measures)"
"Hendon","Dr Matthew Offord","Conservative",2330,8720,10370,4390,3210,1450,14970,5900,5070,1380,6280,1760,1160,310
"Henley","John Howell","Conservative",990,4090,4880,1700,1690,600,7440,2500,2110,400,2590,580,520,120
"Hereford and South Herefordshire","Jesse Norman","Conservative",1130,4530,5340,1970,1820,660,7990,2840,2470,530,3080,760,620,160
"Hertford and Stortford","Mr Mark Prisk","Conservative",1290,5350,6220,2200,2320,820,9700,3240,2730,510,3380,770,700,150
"Hertsmere","Oliver Dowden","Conservative",1610,5930,6920,2760,2150,860,10140,3870,3330,770,4090,1060,760,200
"Hexham","Guy Opperman","Conservative",700,2960,3410,1210,1270,450,5310,1800,1530,290,1890,420,370,80
"Heywood and Middleton","Liz McInnes","Labour",1570,6010,6930,2890,2390,1020,10130,4100,3540,910,4360,1160,840,220
"High Peak","Ruth George","Labour",1040,4170,4780,1790,1600,580,7160,2580,2270,500,2840,710,560,140
"Hitchin and Harpenden","Bim Afolami","Conservative",1220,5220,6140,2130,2220,790,9510,3180,2700,490,3310,710,620,150
"Holborn and St Pancras","Keir Starmer","Labour",1850,7710,8760,3740,3090,1260,12770,5270,4550,1140,5520,1430,1060,310
"Hornchurch and Upminster","Julia Lopez","Conservative",1340,5340,6500,2490,2150,880,9550,3540,3030,720,3730,940,740,190
"Hornsey and Wood Green","Catherine West","Labour",1530,6140,7390,2850,2480,1020,10900,4030,3470,830,4270,1090,860,220
"Horsham","Jeremy Quin","Conservative",1320,5540,6120,2240,2260,790,9640,3290,2850,560,3520,800,680,150
"Houghton and Sunderland South","Bridget Phillipson","Labour",1180,4340,5170,2200,1570,690,7390,3060,2610,680,3210,860,600,170
"Hove","Peter Kyle","Labour",1230,4920,5740,2170,1820,690,8390,3100,2800,630,3470,850,640,160
"Huddersfield","Mr Barry Sheerman","Labour Co-op",1370,5310,6150,2470,2030,720,9030,3490,3000,770,3690,970,730,180
"Huntingdon","Mr Jonathan Djanogly","Conservative",1410,5620,6540,2380,2140,800,9830,3490,3030,660,3770,920,710,190
"Hyndburn","Graham P Jones","Labour",1410,4930,6400,2660,2040,1010,8920,3820,3000,830,3630,1090,600,240
"Ilford North","Wes Streeting","Labour",1620,6150,7030,2690,2340,880,10590,3900,3370,730,4170,990,790,210
"Ilford South","Mike Gapes","Change UK - The Independent Group",2390,9320,11530,4420,3570,1440,16430,6250,5440,1390,6610,1740,1220,390
"Ipswich","Sandy Martin","Labour",1500,6000,7330,2850,2580,1060,10620,4070,3520,860,4280,1110,790,240
"Isle of Wight","Mr Bob Seely","Conservative",1580,5990,7150,2970,2260,1010,10360,4050,3490,920,4310,1180,800,220
"Islington North","Jeremy Corbyn","Labour",1680,5990,7280,3210,2500,1160,10410,4490,3760,1020,4570,1280,880,270
"Islington South and Finsbury","Emily Thornberry","Labour",1260,5210,5830,2500,2120,800,8580,3510,3040,760,3700,950,750,210
"Jarrow","Mr Stephen Hepburn","Labour",1080,4200,4910,2010,1630,680,7130,2860,2500,620,3060,790,550,140
"Keighley","John Grogan","Labour",1530,5810,6560,2720,2070,820,9670,3880,3360,800,4130,1000,750,200
"Kenilworth and Southam","Jeremy Wright","Conservative",860,3580,4160,1570,1380,540,6350,2260,1960,400,2400,550,410,90
"Kensington","Emma Dent Coad","Labour",1430,5340,6210,2570,2070,890,9160,3510,3030,810,3770,1060,740,210
"Kettering","Mr Philip Hollobone","Conservative",1550,6020,6660,2710,2010,790,9820,3860,3460,800,4210,990,710,190
"Kingston and Surbiton","Sir Edward Davey","Liberal Democrat",1720,6530,7480,2910,2410,930,11150,4220,3610,820,4450,1090,830,220
"Kingston upon Hull East","Karl Turner","Labour",1500,6000,6300,2730,2130,840,9300,3810,3370,870,4140,1080,900,230
"Kingston upon Hull North","Diana Johnson","Labour",1420,5980,6630,2810,2360,890,9790,3990,3440,850,4170,1060,800,240
"Kingston upon Hull West and Hessle","Emma Hardy","Labour",1080,4580,5290,2190,1890,710,7710,3080,2650,650,3220,840,650,190
"Kingswood","Chris Skidmore","Conservative",1340,4500,5670,2250,1760,730,8080,3150,2650,650,3270,910,610,170
"Knowsley","Sir George Howarth","Labour",1500,6400,7150,2980,2550,980,10550,4220,3690,890,4460,1140,830,260
"Lancaster and Fleetwood","Cat Smith","Labour",1240,4110,4540,1920,1290,530,6670,2750,2310,630,2810,750,480,140
"Leeds Central","Hilary Benn","Labour",2270,9300,10010,4340,3480,1340,14760,6080,5420,1360,6580,1660,1250,350
"Leeds East","Richard Burgon","Labour",2040,7460,8580,3750,3030,1240,12410,5190,4490,1200,5510,1510,1210,310
"Leeds North East","Fabian Hamilton","Labour",1360,5050,6150,2370,1980,830,8860,3390,2940,710,3680,990,720,190
"Leeds North West","Alex Sobel","Labour Co-op",780,3000,3490,1270,1150,430,5250,1860,1610,360,2010,510,390,100
"Leeds West","Rachel Reeves","Labour",1390,5230,6080,2520,2270,910,8840,3580,3080,760,3790,1020,860,220
"Leicester East","Keith Vaz","Labour",2000,7440,8880,3710,2850,1260,12740,5200,4550,1180,5560,1490,1000,270
"Leicester South","Jonathan Ashworth","Labour Co-op",1780,6950,7960,3220,2690,1010,11710,4590,3980,1010,4880,1280,930,230
"Leicester West","Liz Kendall","Labour",1860,7670,8410,3610,3110,1150,12480,5070,4390,1120,5380,1390,1160,310
"Leigh","Jo Platt","Labour Co-op",1490,5030,6070,2540,1820,820,8880,3580,2860,820,3460,1010,600,180
"Lewes","Maria Caulfield","Conservative",1080,4280,4850,1820,1620,580,7260,2600,2330,530,2920,740,580,140
"Lewisham East","Janet Daby","Labour",1830,6270,8030,3340,2590,1120,11330,4580,3980,1030,4880,1370,890,290
"Lewisham West and Penge","Ellie Reeves","Labour",1870,7160,8210,3430,2570,1080,11800,4740,4250,1060,5170,1370,890,290
"Lewisham, Deptford","Vicky Foxcroft","Labour",1610,6980,7940,3330,2740,1070,11600,4710,4080,1010,4920,1250,860,280
"Leyton and Wanstead","John Cryer","Labour",1580,6010,7990,3360,2640,1330,10810,4630,3790,1020,4640,1360,830,260
"Lichfield","Michael Fabricant","Conservative",1270,4560,5080,1940,1620,590,7550,2790,2480,580,3080,780,590,150
"Lincoln","Karen Lee","Labour",1360,5240,6050,2460,2120,830,8900,3510,3030,770,3730,980,740,180
"Liverpool, Riverside","Dame Louise Ellman","Labour Co-op",1160,4440,5160,2200,1500,600,7310,3050,2560,690,3100,850,590,190
"Liverpool, Walton","Dan Carden","Labour",1160,4990,5820,2380,2080,770,8470,3400,2910,700,3520,900,650,210
"Liverpool, Wavertree","Luciana Berger","Independent",1340,5000,5880,2430,1970,830,8490,3390,3000,750,3680,990,680,200
"Liverpool, West Derby","Stephen Twigg","Labour Co-op",1290,5530,6220,2600,2260,850,9140,3690,3190,790,3870,990,760,220
"Loughborough","Nicky Morgan","Conservative",1240,4780,5480,2070,1860,690,8160,2980,2640,590,3310,840,680,160
"Louth and Horncastle","Victoria Atkins","Conservative",1010,3900,4630,1840,1530,660,6820,2570,2200,540,2720,730,540,140
"Ludlow","Mr Philip Dunne","Conservative",890,3210,3990,1670,1380,630,5780,2230,1800,440,2240,650,490,130
"Luton North","Kelvin Hopkins","Independent",1660,6520,8030,3170,2890,1240,11550,4540,3870,960,4730,1270,910,270
"Luton South","Mr Gavin Shuker","Independent",1920,7430,8830,3450,2990,1070,12940,4920,4230,1080,5180,1370,980,240
"Macclesfield","David Rutley","Conservative",1160,4160,5130,2160,1760,730,7400,2840,2380,610,2930,850,620,160
"Maidenhead","Mrs Theresa May","Conservative",1270,5270,6150,2200,2190,800,9500,3240,2780,520,3410,760,630,150
"Maidstone and The Weald","Mrs Helen Grant","Conservative",1360,5330,6200,2280,2040,780,9310,3370,2900,640,3600,880,680,180
"Makerfield","Yvonne Fovargue","Labour",1510,5390,6060,2440,1930,720,8900,3440,3060,770,3830,970,760,190
"Maldon","Mr John Whittingdale","Conservative",1020,3990,4640,1730,1510,580,6940,2510,2180,480,2700,670,500,140
"Manchester Central","Lucy Powell","Labour Co-op",2190,8440,9220,3990,3300,1310,13530,5660,4930,1260,6020,1570,1230,330
"Manchester, Gorton","Afzal Khan","Labour",2190,7740,9200,3970,2900,1300,12980,5400,4770,1230,5860,1610,1070,320
"Manchester, Withington","Jeff Smith","Labour",1230,4770,5980,2480,1970,880,8210,3440,2930,770,3600,990,660,190
"Mansfield","Ben Bradley","Conservative",1450,5610,6580,2700,2260,910,9650,3820,3250,840,4000,1060,770,200
"Meon Valley","George Hollingbery","Conservative",1100,4160,5050,2030,1700,710,7410,2770,2330,540,2870,770,570,150
"Meriden","Dame Caroline Spelman","Conservative",1480,5880,7290,2850,2520,1060,10430,4070,3490,870,4260,1110,790,240
"Mid Bedfordshire","Ms Nadine Dorries","Conservative",1550,5840,6830,2720,2330,940,10260,3830,3310,760,4120,1070,800,200
"Mid Derbyshire","Mrs Pauline Latham","Conservative",1020,3800,4580,1910,1590,660,6680,2560,2140,500,2650,710,580,140
"Mid Dorset and North Poole","Michael Tomlinson","Conservative",960,3690,4480,1790,1510,650,6580,2470,2080,470,2550,670,490,130
"Mid Norfolk","George Freeman","Conservative",1380,4970,5780,2310,1770,700,8430,3250,2800,670,3430,890,620,170
"Mid Sussex","Sir Nicholas Soames","Conservative",1380,5590,6480,2430,2270,880,9980,3520,3000,590,3690,870,690,150
"Mid Worcestershire","Nigel Huddleston","Conservative",1250,4800,5570,2120,1860,700,8220,3050,2680,620,3370,870,690,170
"Middlesbrough","Andy McDonald","Labour",1530,6320,7150,3100,2420,1020,10320,4350,3840,950,4640,1170,830,250
"Middlesbrough South and East Cleveland","Mr Simon Clarke","Conservative",1240,4770,5530,2250,1840,720,8090,3190,2750,710,3370,900,640,150
"Milton Keynes North","Mark Lancaster","Conservative",2180,8120,9550,3970,3030,1340,13890,5410,4660,1240,5790,1610,1100,300
"Milton Keynes South","Iain Stewart","Conservative",2410,8790,10550,4470,3360,1520,15190,6020,5150,1430,6420,1840,1230,340
"Mitcham and Morden","Siobhain McDonagh","Labour",1510,5980,7420,2940,2510,1080,10540,4170,3550,880,4330,1130,820,250
"Mole Valley","Sir Paul Beresford","Conservative",1040,4290,4950,1800,1720,630,7630,2630,2240,440,2760,620,530,130
"Morecambe and Lunesdale","David Morris","Conservative",1430,4620,6140,2600,1870,860,8100,3520,2850,910,3550,1250,750,200
"Morley and Outwood","Andrea Jenkyns","Conservative",1300,4610,5570,2180,1820,760,8200,3170,2590,620,3230,870,620,170
"New Forest East","Dr Julian Lewis","Conservative",1260,4260,5260,2150,1590,670,7440,3010,2560,630,3120,840,550,160
"New Forest West","Sir Desmond Swayne","Conservative",840,3170,3880,1560,1360,600,5680,2170,1800,410,2210,590,430,110
"Newark","Robert Jenrick","Conservative",1360,4960,5750,2300,1850,730,8450,3280,2800,650,3460,880,650,170
"Newbury","Richard Benyon","Conservative",1480,5640,6910,2770,2380,1050,10130,3840,3180,730,3920,1040,760,200
"Newcastle-under-Lyme","Paul Farrelly","Labour",1090,4140,4760,1890,1520,590,7130,2730,2270,530,2790,680,510,150
"Newcastle upon Tyne Central","Chi Onwurah","Labour",1580,5950,7140,3010,2250,1000,10170,4180,3710,910,4480,1190,740,240
"Newcastle upon Tyne East","Mr Nicholas Brown","Labour",940,3860,4340,1840,1500,590,6320,2580,2240,560,2720,710,540,160
"Newcastle upon Tyne North","Catherine McKinnell","Labour",1200,4760,5940,2370,2020,900,8390,3370,2860,720,3490,930,640,200
"Newton Abbot","Anne Marie Morris","Conservative",990,3830,4710,1800,1560,660,6820,2620,2240,520,2790,720,530,140
"Normanton, Pontefract and Castleford","Yvette Cooper","Labour",1530,5920,6960,2830,2390,970,10150,4040,3490,880,4280,1120,800,200
"North Cornwall","Scott Mann","Conservative",1160,4360,5150,2100,1660,690,7570,3060,2580,610,3150,770,540,150
"North Devon","Peter Heaton-Jones","Conservative",1090,4350,5010,1850,1700,610,7520,2660,2340,510,2940,740,600,140
"North Dorset","Simon Hoare","Conservative",1240,4230,5250,2200,1560,690,7580,2990,2400,590,2940,830,520,170
"North Durham","Mr Kevan Jones","Labour",1180,4170,5570,2330,1810,850,7450,3100,2580,740,3210,1050,690,190
"North East Bedfordshire","Alistair Burt","Conservative",1780,6320,7180,2800,2260,850,10620,4060,3460,790,4290,1060,820,210
"North East Cambridgeshire","Stephen Barclay","Conservative",1600,6020,6930,2860,2210,940,10200,3940,3370,850,4190,1110,820,220
"North East Derbyshire","Lee Rowley","Conservative",1170,4080,4970,1910,1430,560,7020,2690,2380,600,2970,820,550,150
"North East Hampshire","Mr Ranil Jayawardena","Conservative",1100,4660,5460,1900,1990,710,8480,2830,2390,430,2930,640,550,120
"North East Hertfordshire","Sir Oliver Heald","Conservative",1410,5140,6100,2450,1860,720,8880,3420,2870,710,3540,920,650,190
"North East Somerset","Mr Jacob Rees-Mogg","Conservative",1180,4400,5360,2160,1870,790,7870,2940,2450,560,3040,830,640,160
"North Herefordshire","Bill Wiggin","Conservative",1130,3720,4320,1700,1330,520,6400,2490,2020,510,2480,670,450,140
"North Norfolk","Norman Lamb","Liberal Democrat",750,3020,3560,1310,1200,420,5320,1880,1630,350,2030,510,410,100
"North Shropshire","Mr Owen Paterson","Conservative",1420,5040,5880,2320,1860,740,8610,3320,2850,670,3510,910,650,180
"North Somerset","Dr Liam Fox","Conservative",1100,4450,5210,1870,2000,750,8050,2840,2380,440,2950,660,590,130
"North Swindon","Justin Tomlinson","Conservative",1530,6130,7100,2650,2370,850,10620,3780,3310,730,4140,1050,850,200
"North Thanet","Sir Roger Gale","Conservative",1190,4720,5900,2360,2060,930,8380,3360,2830,710,3460,930,650,200
"North Tyneside","Mary Glindon","Labour",1300,4910,5880,2400,2090,940,8600,3460,2890,750,3550,960,690,180
"North Warwickshire","Craig Tracey","Conservative",1200,4710,5320,2010,1810,640,7980,2880,2580,580,3230,820,660,160
"North West Cambridgeshire","Mr Shailesh Vara","Conservative",2100,7990,8720,3470,2830,1070,13150,4980,4340,990,5370,1290,1020,270
"North West Durham","Laura Pidcock","Labour",1350,4590,5380,2220,1620,620,7700,3010,2570,760,3250,940,700,160
"North West Hampshire","Kit Malthouse","Conservative",1300,5160,6080,2220,2080,810,9230,3230,2760,570,3450,860,680,170
"North West Leicestershire","Andrew Bridgen","Conservative",1240,4600,5650,2110,1930,710,8230,3020,2600,590,3290,860,710,180
"North West Norfolk","Sir Henry Bellingham","Conservative",1100,4400,5250,2080,1700,730,7710,2920,2520,620,3090,790,580,150
"North Wiltshire","James Gray","Conservative",1370,4700,5480,2130,1580,630,8110,2980,2530,640,3130,880,590,140
"Northampton North","Michael Ellis","Conservative",1560,5250,6550,2760,1750,790,8770,3820,3190,970,3890,1250,650,210
"Northampton South","Andrew Lewer","Conservative",1890,6600,7490,3280,2070,830,10660,4530,4050,1090,4940,1350,860,220
"Norwich North","Chloe Smith","Conservative",1050,4140,4940,1950,1660,700,7320,2730,2330,570,2880,760,570,150
"Norwich South","Clive Lewis","Labour",1120,4330,5010,1980,1730,630,7400,2830,2430,620,2990,800,590,130
"Nottingham East","Mr Chris Leslie","Change UK - The Independent Group",1400,5730,6770,2890,2470,1060,9800,4110,3470,880,4220,1110,820,240
"Nottingham North","Alex Norris","Labour Co-op",1890,7320,8300,3630,2990,1290,12150,5100,4270,1110,5250,1430,1170,310
"Nottingham South","Lilian Greenwood","Labour",1170,4570,5470,2130,1820,650,7990,3040,2620,660,3190,840,590,150
"Nuneaton","Mr Marcus Jones","Conservative",1480,5270,6820,3000,1950,860,8940,3880,3250,1010,4030,1340,800,210
"Old Bexley and Sidcup","James Brokenshire","Conservative",1060,4140,4830,1780,1560,580,7250,2600,2200,500,2750,690,530,140
"Oldham East and Saddleworth","Debbie Abrahams","Labour",1650,6430,7520,2980,2610,980,11070,4260,3670,930,4490,1190,860,200
"Oldham West and Royton","Jim McMahon","Labour Co-op",1940,7470,8600,3590,2590,1100,12320,4940,4420,1100,5350,1420,890,290
"Orpington","Joseph Johnson","Conservative",1210,4760,5690,2110,1900,690,8410,3040,2650,580,3300,820,650,170
"Oxford East","Anneliese Dodds","Labour Co-op",1690,6190,7670,3240,2240,930,10400,4370,3670,1050,4540,1360,910,250
"Oxford West and Abingdon","Layla Moran","Liberal Democrat",1230,4990,5810,2190,2000,760,8900,3140,2680,560,3300,790,620,150
"Pendle","Andrew Stephenson","Conservative",1160,4790,5790,2220,1930,800,8540,3160,2720,630,3330,820,650,170
"Penistone and Stocksbridge","Angela Smith","Independent",980,3750,4530,1790,1570,650,6690,2500,2080,470,2580,670,530,140
"Penrith and The Border","Rory Stewart","Conservative",750,3230,3650,1340,1360,480,5730,1970,1680,320,2080,450,400,90
"Peterborough","Ms Lisa Forbes","Labour",2060,7690,9200,3780,2960,1240,13190,5260,4640,1160,5660,1530,1000,310
"Plymouth, Moor View","Johnny Mercer","Conservative",1340,5040,6060,2430,1940,800,8730,3390,3000,750,3650,1000,640,190
"Plymouth, Sutton and Devonport","Luke Pollard","Labour Co-op",1370,5270,5960,2410,2030,770,8810,3440,2990,760,3680,980,720,180
"Poole","Sir Robert Syms","Conservative",1240,4820,5460,2190,1720,680,8090,3140,2760,630,3370,790,580,160
"Poplar and Limehouse","Jim Fitzpatrick","Labour",2200,9320,11110,4480,3750,1360,15880,6350,5410,1340,6530,1720,1230,410
"Portsmouth North","Penny Mordaunt","Conservative",1360,5380,6650,2580,2320,960,9570,3680,3170,790,3870,1020,730,220
"Portsmouth South","Stephen Morgan","Labour",1440,5380,6300,2580,2050,850,9120,3600,3170,790,3880,1060,690,210
"Preston","Sir Mark Hendrick","Labour Co-op",1440,5380,6540,2670,2070,860,9320,3730,3290,820,4000,1070,690,220
"Pudsey","Stuart Andrew","Conservative",1210,4630,5620,2270,1960,830,8260,3120,2600,600,3210,850,650,170
"Putney","Justine Greening","Conservative",1200,4720,5710,2200,1940,810,8430,3110,2670,630,3300,860,670,170
"Rayleigh and Wickford","Mr Mark Francois","Conservative",1110,4360,5170,1920,1800,720,7810,2770,2350,500,2930,740,590,150
"Reading East","Matt Rodda","Labour",1620,6150,7300,2790,2300,880,10550,3950,3540,840,4420,1160,850,220
"Reading West","Alok Sharma","Conservative",1360,5600,6850,2620,2320,940,10120,3720,3180,740,3890,970,770,200
"Redcar","Anna Turley","Labour Co-op",1130,4180,5190,2090,1640,680,7420,2910,2520,640,3070,850,550,170
"Redditch","Rachel Maclean","Conservative",1560,5200,6180,2640,1780,700,8750,3570,3180,920,3920,1080,700,180
"Reigate","Crispin Blunt","Conservative",1360,5430,6370,2350,2150,820,9680,3420,2890,610,3610,880,700,190
"Ribble Valley","Mr Nigel Evans","Conservative",950,3980,4720,1630,1720,610,7300,2420,2050,370,2510,560,490,110
"Richmond (Yorks)","Rishi Sunak","Conservative",1200,4530,5410,2120,1950,790,8080,2960,2470,560,3080,830,670,160
"Richmond Park","Zac Goldsmith","Conservative",1500,6250,7420,2580,2760,980,11500,3840,3250,590,3990,890,780,180
"Rochdale","Tony Lloyd","Labour",2050,7760,8810,3770,2800,1210,12670,5200,4620,1170,5640,1500,1000,320
"Rochester and Strood","Kelly Tolhurst","Conservative",1400,5610,6800,2630,2290,950,10040,3730,3160,740,3890,990,790,210
"Rochford and Southend East","James Duddridge","Conservative",1620,5720,7100,3000,2240,1010,10000,4140,3660,910,4440,1200,750,240
"Romford","Andrew Rosindell","Conservative",1680,5760,7090,3050,2200,1000,10040,4050,3460,1010,4320,1300,800,230
"Romsey and Southampton North","Caroline Nokes","Conservative",990,3800,4590,1800,1610,670,6810,2510,2110,470,2610,680,520,140
"Rossendale and Darwen","Jake Berry","Conservative",1350,5150,5850,2310,1930,740,8780,3350,2850,650,3520,850,660,180
"Rother Valley","Sir Kevin Barron","Labour",1210,4600,5760,2390,1930,950,8300,3310,2740,720,3400,960,660,180
"Rotherham","Sarah Champion","Labour",1320,5500,6420,2750,2350,1000,9320,3910,3330,830,4050,1040,790,230
"Rugby","Mark Pawsey","Conservative",1500,5570,6530,2610,1950,770,9440,3640,3200,750,3870,980,670,180
"Ruislip, Northwood and Pinner","Mr Nick Hurd","Conservative",1200,4660,5510,2050,1890,740,8300,2940,2510,540,3130,800,630,160
"Runnymede and Weybridge","Mr Philip Hammond","Conservative",1230,4900,5770,2110,1940,760,8760,3060,2610,550,3260,810,630,170
"Rushcliffe","Mr Kenneth Clarke","Conservative",1160,4810,5480,2100,1880,720,8420,3010,2620,520,3220,740,570,130
"Rutland and Melton","Sir Alan Duncan","Conservative",1370,4780,5520,2210,1650,630,8240,3040,2600,670,3220,910,620,150
"Saffron Walden","Mrs Kemi Badenoch","Conservative",1490,5250,6900,2720,2260,970,10000,3760,3140,730,3890,1070,750,210
"Salford and Eccles","Rebecca Long Bailey","Labour",1500,5620,6560,2760,2070,890,9410,3800,3360,850,4110,1110,730,230
"Salisbury","John Glen","Conservative",1100,4380,5160,1830,1620,600,7820,2700,2310,500,2910,710,570,150
"Scarborough and Whitby","Mr Robert Goodwill","Conservative",1290,4420,5230,2230,1520,640,7470,2940,2520,760,3150,960,620,170
"Scunthorpe","Nic Dakin","Labour",1440,5170,5970,2450,1810,670,8620,3470,2940,800,3630,1010,740,180
"Sedgefield","Phil Wilson","Labour",990,3960,4840,1870,1640,660,7000,2690,2310,560,2810,710,510,160
"Sefton Central","Bill Esterson","Labour",850,3220,3860,1500,1340,550,5740,2110,1770,400,2200,590,450,120
"Selby and Ainsty","Nigel Adams","Conservative",1290,4720,5700,2330,1770,740,8400,3170,2580,640,3200,880,630,170
"Sevenoaks","Sir Michael Fallon","Conservative",1280,4930,5870,2230,2040,820,8790,3160,2680,580,3340,870,690,170
"Sheffield Central","Paul Blomfield","Labour",1280,4620,5390,2250,1620,640,7850,3230,2660,720,3210,880,540,150
"Sheffield South East","Mr Clive Betts","Labour",1290,5070,6420,2680,2040,930,8770,3660,3120,820,3820,1060,680,210
"Sheffield, Brightside and Hillsborough","Gill Furniss","Labour",1940,8060,8980,3680,3290,1170,13250,5240,4530,1110,5510,1440,1130,320
"Sheffield, Hallam","Jared O'Mara","Independent",1040,3740,4410,1660,1380,540,6660,2470,1980,420,2430,590,440,120
"Sheffield, Heeley","Louise Haigh","Labour",1310,4810,5850,2390,1900,790,8400,3300,2880,730,3530,980,650,200
"Sherwood","Mark Spencer","Conservative",1490,4950,5920,2430,1720,700,8450,3300,2810,830,3500,1050,700,180
"Shipley","Philip Davies","Conservative",1150,4500,5230,1910,1730,640,7880,2810,2430,540,3030,740,580,160
"Shrewsbury and Atcham","Daniel Kawczynski","Conservative",1310,4760,5490,2100,1820,710,8250,3070,2560,600,3210,840,630,170
"Sittingbourne and Sheppey","Gordon Henderson","Conservative",1830,6990,8020,3310,2720,1100,11720,4690,4130,1050,5070,1330,950,250
"Skipton and Ripon","Julian Smith","Conservative",960,4130,4640,1650,1730,600,7320,2460,2110,400,2600,570,500,110
"Sleaford and North Hykeham","Dr Caroline Johnson","Conservative",1270,5020,6000,2250,2190,860,9080,3240,2700,570,3390,850,690,180
"Slough","Mr Tanmanjeet Singh Dhesi","Labour",2300,9270,11230,4310,3800,1580,16600,6130,5260,1230,6460,1640,1280,330
"Solihull","Julian Knight","Conservative",1180,4650,5520,2010,1870,740,8360,2920,2490,510,3110,780,610,160
"Somerton and Frome","David Warburton","Conservative",1340,4740,5700,2150,1850,730,8400,3070,2580,590,3260,870,660,170
"South Basildon and East Thurrock","Stephen Metcalfe","Conservative",1660,5600,7170,3100,2360,1180,10090,4210,3700,1030,4530,1330,820,240
"South Cambridgeshire","Heidi Allen","Independent",1440,5950,6890,2570,2330,890,10530,3700,3180,640,3910,910,720,160
"South Derbyshire","Mrs Heather Wheeler","Conservative",1420,5200,6150,2440,1920,790,8960,3480,3000,690,3660,930,650,180
"South Dorset","Richard Drax","Conservative",1010,3930,4480,1710,1440,550,6750,2470,2100,460,2590,620,490,140
"South East Cambridgeshire","Lucy Frazer","Conservative",1420,5920,6570,2360,2440,830,10350,3490,3020,580,3730,830,730,150
"South East Cornwall","Mrs Sheryll Murray","Conservative",940,3830,4450,1650,1470,520,6640,2370,2090,450,2600,630,510,130
"South Holland and The Deepings","Sir John Hayes","Conservative",1200,4930,5620,2070,1860,640,8440,2970,2640,570,3300,790,670,160
"South Leicestershire","Alberto Costa","Conservative",1200,4790,5460,2010,1900,710,8520,3020,2430,490,2960,680,540,140
"South Norfolk","Mr Richard Bacon","Conservative",1240,4820,5860,2330,1970,850,8590,3230,2720,610,3350,860,630,160
"South Northamptonshire","Andrea Leadsom","Conservative",1470,5900,6780,2490,2240,820,10410,3660,3030,610,3710,850,690,170
"South Ribble","Seema Kennedy","Conservative",1200,4550,5280,1950,1740,670,7890,2870,2490,550,3100,770,600,160
"South Shields","Mrs Emma Lewell-Buck","Labour",1130,4170,4950,2120,1540,680,7050,2900,2520,650,3080,840,550,180
"South Staffordshire","Gavin Williamson","Conservative",1200,3950,4710,1880,1370,530,6750,2590,2190,580,2710,750,510,130
"South Suffolk","James Cartlidge","Conservative",1150,4250,4880,1850,1610,620,7330,2680,2320,530,2880,740,550,140
"South Swindon","Robert Buckland","Conservative",1510,5890,6560,2550,2100,790,9910,3660,3150,700,3890,920,720,200
"South Thanet","Craig Mackinlay","Conservative",1330,5020,5980,2350,2040,780,8750,3340,2850,730,3510,950,700,160
"South West Bedfordshire","Andrew Selous","Conservative",1630,6280,6910,2700,2340,870,10530,3920,3400,770,4200,1010,800,210
"South West Devon","Sir Gary Streeter","Conservative",890,3790,4400,1550,1620,590,6860,2320,1980,360,2430,530,450,100
"South West Hertfordshire","Mr David Gauke","Conservative",1270,5230,6110,2130,2370,840,9560,3180,2690,490,3350,770,700,140
"South West Norfolk","Elizabeth Truss","Conservative",1450,5600,6200,2480,1930,750,9230,3550,3150,730,3840,920,670,180
"South West Surrey","Mr Jeremy Hunt","Conservative",1330,5240,6170,2260,2280,850,9530,3310,2790,560,3460,830,700,160
"South West Wiltshire","Dr Andrew Murrison","Conservative",1190,4860,5650,2070,1930,680,8470,3000,2640,560,3300,790,660,160
"Southampton, Itchen","Royston Smith","Conservative",1430,5450,6440,2530,2240,860,9450,3630,3110,790,3820,1030,760,180
"Southampton, Test","Dr Alan Whitehead","Labour",1450,5610,6620,2620,2340,840,9760,3740,3200,820,3930,1040,770,190
"Southend West","Sir David Amess","Conservative",1100,4540,5270,1950,1750,630,7890,2820,2470,530,3070,740,590,150
"Southport","Damien Moore","Conservative",1090,4260,4710,1840,1490,570,7090,2630,2300,520,2830,670,520,140
"Spelthorne","Kwasi Kwarteng","Conservative",1270,5100,6060,2280,2020,780,8890,3300,2900,650,3620,890,690,180
